"Month","Hour","Day of Week","Council District (Start)","sum_trip_distance","Year (US/Central)"
"3","6","3","9","1,665,842","2,019"
"3","9","3","7","19,074","2,022"
"7","15","1","1","56,614","2,018"
"3","21","2","None","47,936","2,021"
"3","16","6","1","352,234.81278652738","2,022"
"1","19","1","5","74,812.93500878806","2,022"
"2","1","2","10","4,406","2,021"
"10","3","5","9","35,195,566.27571908176","2,020"
"1","14","2","4","3,177","2,021"
"2","21","3","8","8,962","2,022"
"11","7","3","9","752,682","2,019"
"8","3","0","8","25,024","2,021"
"6","21","6","0","50,902","2,018"
"6","2","1","9","69,712,185.23721144357","2,020"
"6","1","2","4","1,522","2,020"
"9","1","0","3","895,888","2,019"
"1","9","6","9","858,354","2,020"
"9","14","6","4","132","2,021"
"1","0","3","None","99,000","2,022"
"11","23","0","4","5,035","2,020"
"3","2","5","3","23,169,973.74862967821","2,020"
"9","10","3","9","65,407.24311060713","2,020"
"1","18","6","4","28,405","2,019"
"12","2","0","2","18,348","2,021"
"7","10","3","1","54,948","2,020"
"2","1","0","3","46,017,608","2,020"
"2","17","6","4","25,179","2,019"
"8","10","0","7","749","2,019"
"9","7","1","5","6,403","2,018"
"5","23","5","8","14,367","2,018"
"8","9","4","9","128,401","2,018"
"2","23","6","10","10,699","2,021"
"1","15","3","7","11,260","2,020"
"1","1","3","9","93,754,643","2,020"
"10","1","4","9","3,156,477.33950934706","2,020"
"3","9","2","3","47,993","2,019"
"9","5","4","1","164,425.27435449886","2,021"
"11","22","4","2","7,461","2,021"
"12","13","3","4","1,204","2,019"
"5","13","1","3","670,846","2,019"
"9","22","3","10","26,605","2,018"
"11","14","0","0","53,719","2,018"
"4","18","6","8","7,852","2,020"
"9","12","2","4","8,279","2,019"
"5","21","5","8","90,924,096","2,020"
"8","21","2","10","24,759","2,021"
"6","2","1","1","9,649","2,018"
"11","12","4","1","37,862","2,018"
"6","22","6","3","720,096.78495106133","2,021"
"9","22","1","5","160,817.24290095234","2,020"
"12","7","5","9","5,089,299.61884454357","2,020"
"6","21","6","1","80,434","2,018"
"4","13","6","10","4,591","2,022"
"10","2","0","7","2,879","2,021"
"3","22","0","3","307,279.71591077309","2,020"
"1","19","6","8","68,189","2,020"
"3","5","5","8","2,261","2,022"
"10","3","3","2","2,945","2,020"
"12","1","4","8","18,605","2,019"
"10","10","1","10","1,000","2,018"
"1","0","3","8","56,313","1,970"
"5","18","3","4","1,705","2,021"
"1","11","6","9","66,793","2,021"
"1","17","4","3","308,935.25995611949","2,022"
"12","19","0","3","349,282.99283520682","2,021"
"4","17","5","7","5,864","2,020"
"10","1","2","1","75,959","2,020"
"10","21","6","10","105,033","2,019"
"2","3","0","4","3,606","2,019"
"6","0","3","1","65,959","2,018"
"9","22","0","8","127,797","2,019"
"6","19","3","10","6,222","2,021"
"8","13","3","8","0","2,020"
"2","21","4","5","128,248.6118815356","2,022"
"10","9","3","10","869","2,019"
"11","4","1","5","32,922","2,020"
"3","2","3","7","43,378","2,019"
"12","1","3","2","6,344","2,021"
"8","13","5","9","258,771.40705222958","2,020"
"10","8","5","8","12,385.84648750762","2,020"
"6","3","5","8","117,973.93387545555","2,021"
"11","2","1","7","6,043","2,019"
"3","22","2","2","22,096","2,019"
"3","1","2","10","34,644","2,021"
"2","2","2","1","59,477.51310003464","2,021"
"4","3","2","1","9,803","2,020"
"7","20","4","8","68,263","2,018"
"10","5","4","1","173,099.50096221646","2,021"
"10","11","1","3","27,315.25259506812","2,020"
"8","5","1","3","141,495.81915555304","2,020"
"10","10","6","1","3,048","2,018"
"1","17","2","9","1,883,773","2,019"
"11","13","4","9","1,061,925","2,018"
"7","1","3","4","4,566","2,020"
"2","23","2","2","15,310","2,022"
"2","11","3","3","18,895","2,022"
"6","19","3","7","12,653","2,019"
"11","20","2","3","360,568.98306408295","2,020"
"7","5","6","7","45,323","2,019"
"11","6","2","4","3,014","2,019"
"4","6","0","3","6,951","2,020"
"8","6","4","5","52,912","2,019"
"2","8","0","4","10,690","2,022"
"1","12","4","5","31,944","2,020"
"5","2","2","3","594,870","2,019"
"7","4","5","7","1,738","2,018"
"12","21","4","0","50,395","2,018"
"2","20","1","2","7,341","2,022"
"5","22","3","4","11,350","2,019"
"12","3","3","1","122,426","2,018"
"11","18","3","2","29,896","2,018"
"4","16","4","7","4,583","2,021"
"3","4","6","8","14,381","2,021"
"6","17","5","9","24,503,192.20312571747","2,020"
"6","16","6","3","850,976","2,019"
"1","9","0","3","18,066","2,020"
"10","17","6","3","760,207","2,018"
"12","20","6","2","1,076","2,020"
"12","6","3","1","14,713","2,018"
"8","5","2","2","5,697","2,018"
"6","12","0","10","14,040","2,019"
"5","10","4","9","255,605","2,019"
"9","1","6","1","25,341,101","2,019"
"10","13","6","5","65,682","2,021"
"11","21","2","7","1,753","2,021"
"10","0","1","10","1,647","2,020"
"4","9","6","9","509,481","2,019"
"5","11","3","1","5,576","2,021"
"2","17","5","1","23,250,825","2,020"
"1","19","2","5","103,368","2,019"
"3","8","2","4","351","2,019"
"11","19","1","0","4,012","2,019"
"12","5","1","10","25,049","2,018"
"5","3","5","3","1,047,624.40939415375","2,021"
"11","4","1","9","1,011,089","2,018"
"9","8","4","9","142,628","2,018"
"5","16","4","8","4,708","2,018"
"8","19","2","7","16,763","2,019"
"4","17","1","7","16,037","2,019"
"8","22","2","2","14,167","2,019"
"11","12","1","0","6,792","2,018"
"4","17","0","4","5,399","2,021"
"9","1","3","4","2,723","2,020"
"5","6","5","8","1,319","2,019"
"10","7","1","9","272,946.88188546493","2,020"
"11","22","0","2","9,258","2,019"
"10","7","1","1","17,249","2,019"
"9","23","5","8","151,142.9068032234","2,021"
"5","14","1","5","6,217","2,020"
"4","13","5","9","264,165.60410411177","2,021"
"6","12","1","3","17,997","2,018"
"3","15","2","2","3,106","2,019"
"2","4","4","3","177,963","2,020"
"8","15","6","9","1,877,434","2,018"
"5","20","2","1","381,666","2,019"
"7","15","6","5","109,246","2,018"
"1","2","5","5","135,531.6126547691","2,021"
"7","0","6","7","1,822","2,021"
"1","9","1","2","1,980","2,019"
"9","9","4","1","15,863","2,019"
"11","5","2","2","9,084","2,018"
"5","23","5","3","1,580,229","2,019"
"6","18","0","7","869","2,021"
"1","4","6","3","263,798","2,019"
"3","0","4","10","46,951","2,020"
"4","6","0","5","14,938","2,019"
"7","2","0","3","921,270.27580760367","2,021"
"6","22","1","2","291","2,018"
"10","21","1","4","932","2,020"
"1","0","0","10","15,609","2,021"
"1","11","3","3","38,269","2,019"
"2","19","0","3","131,866.6470760073","2,021"
"3","22","3","10","25,760","2,020"
"9","15","3","2","0","2,018"
"6","14","5","4","11,162","2,021"
"1","9","0","None","173,600","2,022"
"5","22","6","0","15,169","2,018"
"6","4","4","1","751","2,018"
"11","22","1","None","3,216","2,018"
"7","21","0","3","632,368","2,019"
"3","22","0","10","8,712","2,022"
"9","4","2","8","27,833.78657936229","2,020"
"12","15","5","10","13,166","2,019"
"1","1","3","8","7,663","2,019"
"6","14","0","9","792,832.78681791048","2,021"
"12","20","4","8","9,862.22897307267","2,020"
"3","7","4","3","85,444.71413780254","2,021"
"12","3","2","5","132,063","2,021"
"3","13","5","3","258,190","2,019"
"10","18","1","5","114,999","2,018"
"1","21","1","6","25","2,020"
"10","12","6","1","23,690","2,019"
"6","23","5","8","213,366.99815315364","2,021"
"5","5","0","3","386,355","2,021"
"10","16","1","5","22,799,392","2,019"
"8","20","5","10","53,351","2,018"
"11","17","0","2","0","2,020"
"1","16","5","1","162,692","2,019"
"3","7","1","5","24,714","2,019"
"6","21","2","5","348,810","2,019"
"12","21","3","2","5,763","2,021"
"6","8","2","9","494,755.47616380738","2,021"
"10","22","2","5","181,253","2,021"
"2","22","0","10","3,586","2,022"
"3","2","5","8","29,353","2,022"
"11","0","0","1","373,719.79220288256","2,021"
"2","16","1","2","1,619","2,020"
"8","1","1","6","268","2,021"
"4","9","5","3","33,235","2,022"
"2","22","4","9","36,218,637.2503048739","2,021"
"2","0","5","4","23,001","2,021"
"6","17","6","5","310,654.85425427251","2,021"
"2","21","2","5","96,893.67402455482","2,022"
"9","4","0","7","778,934","2,019"
"9","16","5","4","10,150","2,021"
"1","16","6","8","1,096","2,019"
"1","9","4","9","224,210","2,019"
"7","10","3","5","1,579","2,021"
"10","8","2","3","14,629","2,018"
"8","13","0","8","14,396","2,021"
"5","18","5","10","71,691","2,019"
"8","2","5","8","75,297","2,021"
"5","0","0","8","4,548","2,020"
"3","5","2","5","31,281","2,020"
"2","21","3","10","67,366","2,019"
"2","12","1","1","8,817","2,022"
"10","8","1","1","12,117","2,021"
"8","18","0","3","402,292.44175186461","2,021"
"3","2","0","None","6,444,109","2,020"
"3","1","3","9","4,959,730.98213142895","2,022"
"2","4","5","9","189,424,804.25391601894","2,020"
"3","0","3","None","1,615,056","2,021"
"7","4","5","4","7,787","2,020"
"7","3","5","5","13,971","2,018"
"5","4","1","9","2,540,288","2,019"
"4","17","3","9","229,367","2,020"
"4","9","0","7","9,433","2,021"
"10","11","2","10","1,900","2,018"
"11","21","1","2","9,268","2,020"
"1","7","5","1","65,028","2,019"
"12","7","1","10","3,609","2,019"
"9","1","6","0","61,345","2,018"
"12","8","0","4","2,213","2,018"
"8","3","3","7","19,019","2,019"
"10","5","6","3","1,616,586.57620048431","2,021"
"9","17","1","10","23,684","2,021"
"12","5","4","8","7,665.05438781812","2,021"
"3","2","0","3","657,490.69708078718","2,021"
"9","9","1","1","6,568","2,018"
"9","9","0","3","20,085","2,018"
"5","3","6","4","1,663","2,020"
"5","11","6","1","44,259.91710645608","2,021"
"11","4","4","9","1,741,358.12570946333","2,020"
"6","19","5","10","65,018","2,021"
"2","6","2","10","532","2,019"
"4","20","3","2","9,191","2,021"
"8","21","2","4","13,561","2,021"
"10","5","5","9","5,017,971.39344165152","2,020"
"11","6","2","9","1,055,044","2,019"
"10","1","3","7","46,114","2,018"
"4","0","1","5","88,359","2,020"
"10","8","6","3","197,083","2,019"
"6","12","6","8","1,058","2,019"
"1","19","3","4","1,792","2,021"
"2","3","0","8","1,164","2,021"
"12","13","0","9","61,012.23154543834","2,020"
"5","19","0","10","45,772","2,019"
"3","1","1","1","362,246","2,019"
"11","2","0","8","37,943","2,018"
"2","20","1","4","8,210","2,020"
"8","20","0","9","3,392,207","2,018"
"8","0","4","9","2,419,842.98354423803","2,020"
"9","19","3","1","439,983","2,019"
"2","0","2","2","18,146","2,019"
"7","21","6","0","11,360,265","2,019"
"9","12","2","2","2,003","2,021"
"8","8","4","3","95,646","2,019"
"8","3","6","1","157,210","2,018"
"4","0","2","0","30,469","2,018"
"11","20","5","5","678,380","2,018"
"6","23","1","0","7,697","2,018"
"4","5","1","10","1,898","2,021"
"1","3","3","5","115,369","2,020"
"4","12","4","None","81,000","2,022"
"1","11","2","3","33,739","2,020"
"11","15","2","5","22,831,823","2,019"
"2","18","5","5","164,017.60388702286","2,022"
"1","18","2","2","7,829","2,020"
"4","0","3","5","18,110","2,018"
"3","22","2","7","113,154","2,019"
"8","22","3","2","1,925","2,020"
"1","15","0","9","137,532,321","2,020"
"12","14","1","10","13,363","2,018"
"11","17","1","8","1,026","2,020"
"9","20","6","8","147,846.56210861039","2,021"
"10","19","0","3","11,986,461","2,019"
"6","21","4","1","160,528.15838698244","2,020"
"6","0","5","5","428,251.63643291342","2,021"
"5","8","1","5","10,675","2,019"
"6","6","5","7","14,806","2,020"
"1","19","6","3","707,708","2,020"
"3","22","4","10","8,943","2,020"
"11","22","3","4","94,826","2,018"
"8","7","6","5","103,949","2,019"
"3","7","6","5","121,760.40278626317","2,022"
"12","4","4","6","2,122","2,018"
"3","18","5","7","46,236","2,022"
"12","20","5","7","5,795","2,019"
"5","8","6","1","125,542","2,019"
"2","5","4","2","3,566","2,019"
"12","14","3","8","5,536","2,018"
"4","17","3","3","141,018","2,020"
"5","18","3","9","2,277,851.50424845528","2,021"
"11","15","6","10","5,027","2,020"
"2","21","5","8","140,434","2,019"
"7","9","6","7","1,882","2,019"
"3","2","4","2","5,866","2,020"
"2","4","1","1","64,533","2,019"
"8","10","6","2","4,215","2,019"
"11","4","2","1","156,425.24126416348","2,021"
"6","16","0","3","134,147","2,020"
"2","14","2","None","179","2,020"
"3","5","1","4","13,251","2,019"
"4","22","4","3","204,433","2,018"
"11","17","4","10","8,325","2,021"
"4","17","1","1","124,799","2,018"
"6","18","0","5","148,055.81761595382","2,021"
"12","18","5","10","9,062","2,021"
"11","9","0","5","9,841","2,021"
"12","18","1","2","413","2,019"
"7","20","3","5","419,908","2,019"
"9","3","4","5","254,052","2,019"
"9","9","6","5","5,994","2,018"
"12","5","6","1","132,395","2,018"
"6","12","5","3","152,868","2,019"
"2","8","2","3","47,628.42799451376","2,022"
"2","19","5","2","15,077","2,020"
"12","4","5","8","70,788","2,018"
"1","11","3","1","731","2,022"
"5","12","0","9","7,102","2,018"
"4","2","5","8","7,714","2,018"
"3","6","0","5","9,665","2,021"
"7","11","1","3","39,406.92194810415","2,020"
"10","4","6","1","598,811.60746616556","2,021"
"2","19","1","3","13,256,253","2,019"
"7","13","1","5","69,182.93442321955","2,021"
"10","16","2","5","95,157","2,018"
"7","6","2","10","4,679","2,021"
"11","6","1","9","941,863.9015329221","2,021"
"5","1","6","5","878,856.46856374355","2,021"
"11","6","4","2","2,290","2,018"
"2","19","3","1","295,961","2,019"
"5","3","5","8","19,360","2,021"
"1","21","2","1","215,421.00971952156","2,022"
"9","17","0","2","8,025","2,021"
"1","7","2","1","117,991","2,020"
"1","6","2","5","28,966","2,020"
"5","12","3","9","36,298","2,018"
"7","4","3","9","3,227,834","2,019"
"1","1","6","None","211,300","2,022"
"8","18","2","2","5,146","2,021"
"1","10","0","5","8,630","2,019"
"11","3","2","None","20,209","2,018"
"3","6","5","3","265,430.84406837929","2,020"
"1","23","1","10","8,082","2,021"
"5","5","6","10","10,949","2,019"
"6","9","6","3","88,030.27570497033","2,020"
"6","17","1","9","653,834.54394145028","2,020"
"12","2","3","7","-2,622","2,018"
"5","19","1","10","8,028","2,020"
"4","14","6","9","28,055","2,020"
"3","0","0","7","78,710","2,019"
"1","12","5","None","409,200","2,022"
"11","9","4","9","240,432","2,018"
"8","13","0","None","926","2,021"
"5","6","0","9","3,686,359.76036860145","2,021"
"2","5","5","0","272","2,019"
"12","20","3","4","108,768","2,018"
"11","21","5","2","5,888","2,021"
"12","2","2","5","94,869","2,019"
"12","2","2","3","437,353","2,018"
"10","2","3","9","1,290,721","2,018"
"8","22","5","3","1,841,262","2,019"
"1","1","4","7","117,137","2,019"
"12","18","5","3","686,883.69334565715","2,021"
"5","14","0","3","56,128","2,020"
"11","17","2","9","668,637.20841760352","2,020"
"12","0","5","1","508,620.63552867583","2,020"
"4","3","0","1","276,789","2,019"
"9","23","2","10","30,127","2,021"
"5","5","4","8","23,987","2,021"
"2","1","0","7","4,152","2,020"
"11","17","5","9","3,384,172.10366036605","2,021"
"6","4","0","10","19,770","2,019"
"12","12","1","5","578","2,019"
"6","22","0","5","189,564.24081894973","2,021"
"8","1","2","3","610,531","2,019"
"10","9","0","4","3,647","2,019"
"3","23","1","3","667,378.82852827544","2,021"
"3","8","4","3","96,130","2,019"
"4","14","0","9","231,794","2,018"
"2","4","4","8","3,295","2,020"
"7","23","1","8","49,539","2,019"
"11","16","6","9","1,747,987.06001285941","2,021"
"11","1","2","6","224","2,018"
"12","15","0","10","17,111","2,018"
"3","3","1","1","207,731","2,019"
"7","0","5","3","1,390,622.05812825874","2,021"
"9","15","1","4","30,074","2,018"
"12","22","1","5","276,348","2,019"
"12","3","0","0","825","2,019"
"5","11","1","10","6,555","2,019"
"1","17","0","8","15,416","2,020"
"7","3","2","8","37,786","2,019"
"2","22","0","1","92,454.92333209991","2,021"
"6","17","0","8","11,124","2,020"
"7","22","5","10","70,448","2,019"
"4","19","3","9","330,176","2,020"
"11","12","0","5","39,157","2,021"
"1","19","4","3","494,258","2,020"
"11","3","5","4","35,148","2,018"
"3","9","2","1","4,144","2,020"
"8","4","5","9","958,165","2,018"
"9","21","0","7","10,265","2,018"
"11","7","0","10","3,950","2,018"
"8","11","3","1","10,689.40057418453","2,020"
"5","23","2","4","11,221","2,019"
"10","1","0","9","26,742,872.81992655697","2,020"
"10","23","1","9","2,752,067.21473010217","2,021"
"3","14","2","5","181,076","2,019"
"10","7","2","8","9,813","2,021"
"6","7","4","10","11,769","2,019"
"6","1","3","9","28,632,936","2,019"
"11","17","0","7","6,136","2,021"
"11","17","1","None","17","2,018"
"1","3","1","8","1,672","2,022"
"2","8","4","5","9,713","2,019"
"8","12","1","0","3,637","2,018"
"12","12","3","5","2,931","2,020"
"1","11","1","9","128,272","2,020"
"4","4","0","2","2,364","2,021"
"1","1","3","3","400,571","2,019"
"11","6","6","10","62,023","2,018"
"10","15","0","10","9,660","2,019"
"10","0","4","1","172,136.11089006042","2,020"
"12","17","4","3","294,127","2,018"
"12","16","1","9","842,927","2,019"
"9","20","5","3","805,119","2,018"
"2","4","3","7","3,005","2,019"
"12","8","0","3","38,136","2,021"
"5","18","1","2","9,548","2,019"
"9","9","5","3","120,048","2,019"
"1","7","6","4","5,327","2,019"
"8","22","3","3","1,094,641","2,019"
"8","0","2","8","72,446.81263182018","2,021"
"12","6","5","1","87,865.81106461524","2,020"
"1","2","4","9","1,028,449.91036048232","2,022"
"11","4","6","2","1,817","2,021"
"6","4","3","4","3,213","2,019"
"10","11","3","0","10,653","2,018"
"7","22","5","5","240,185","2,018"
"7","16","4","10","19,839","2,021"
"6","15","0","3","506,894","2,019"
"3","9","4","3","128,296.25918674724","2,022"
"10","6","2","3","48,373","2,018"
"12","17","3","5","67,350","2,019"
"5","12","6","9","306,099.89188445768","2,021"
"5","7","3","5","0","2,020"
"2","7","5","2","5,786","2,021"
"8","19","0","1","257,612","2,019"
"7","16","4","5","136,787.92441334109","2,020"
"3","22","6","3","1,584,100.25334246563","2,022"
"12","15","4","5","64,328","2,018"
"7","6","0","3","5,883","2,018"
"11","14","5","9","6,815,850","2,019"
"8","21","4","1","198,635.81688781331","2,020"
"8","21","6","5","368,194.851084191","2,020"
"8","23","3","1","265,017.02431548126","2,021"
"4","17","5","1","494,798","2,019"
"3","19","0","2","3,678","2,020"
"11","8","5","1","11,944","2,018"
"11","4","5","3","449,065.78785658482","2,020"
"7","14","1","2","1,372","2,019"
"9","23","3","8","9,323","2,019"
"5","20","1","9","3,864,833","2,019"
"6","20","1","3","58,692","2,018"
"6","6","5","9","7,913,928.99547902796","2,021"
"8","13","3","5","82,557.68967555368","2,021"
"4","15","6","8","62,959.16757141744","2,021"
"1","0","3","1","3,726","1,970"
"10","12","2","5","91,488","2,019"
"8","21","4","0","27,731","2,019"
"7","16","0","8","245","2,020"
"4","16","2","3","200,707.33821850175","2,021"
"9","9","0","3","20,080","2,020"
"11","5","3","10","57,000","2,018"
"2","14","4","3","400,525","2,019"
"10","11","0","2","16","2,020"
"1","6","2","4","6,743","2,022"
"7","10","5","3","80,835","2,021"
"3","20","4","1","221,963.43668309081","2,020"
"3","18","6","3","473,045.09806422758","2,020"
"6","23","2","9","3,435,505.02497278959","2,021"
"12","12","1","9","80,330,709","2,019"
"7","4","4","4","39,318","2,019"
"10","13","0","10","14,037","2,018"
"4","19","3","10","30,935","2,019"
"7","22","4","2","27,783","2,019"
"3","11","2","9","104,474.7619481348","2,021"
"7","19","2","4","1,677","2,018"
"6","13","4","5","276,501","2,019"
"11","11","2","9","33,661","2,020"
"6","16","3","0","751","2,019"
"2","12","3","4","5,989","2,022"
"9","1","5","8","35,341.55707736311","2,020"
"5","22","5","4","8,666","2,019"
"3","6","6","1","135,604.23014987717","2,020"
"5","20","5","2","8,298","2,019"
"7","8","5","3","216,903","2,019"
"9","3","2","8","6,222","2,020"
"5","3","3","5","142,837.06482476394","2,021"
"2","9","5","5","15,331","2,020"
"8","15","2","0","11,350","2,018"
"7","14","6","1","127,903","2,019"
"8","10","2","2","1,114","2,021"
"8","11","5","3","100,473","2,019"
"1","9","3","7","723","2,019"
"11","18","4","None","0","2,021"
"8","6","1","9","483,537.77577752723","2,020"
"8","2","4","0","15,895","2,018"
"1","14","1","4","2,420","2,022"
"6","12","3","4","887","2,019"
"5","11","3","3","13,675","2,020"
"4","20","3","1","20,687","2,020"
"9","17","0","10","35,335","2,019"
"10","18","1","10","7,156","2,021"
"4","6","3","4","6,388","2,019"
"10","3","2","3","210,640","2,018"
"7","11","1","3","100,755","2,019"
"12","15","3","2","985","2,019"
"9","22","2","10","19,320","2,020"
"8","20","6","9","4,366,354.6061086565","2,021"
"10","13","2","None","0","2,021"
"12","21","4","10","121,875","2,018"
"4","15","0","10","1,180","2,022"
"10","2","6","10","138,382","2,019"
"10","23","3","2","104","2,021"
"11","5","6","6","4,948","2,018"
"4","10","2","9","5,677","2,020"
"12","0","5","0","2,904","2,019"
"4","23","2","10","5,929","2,018"
"3","12","6","5","2,285","2,020"
"11","21","6","None","733","2,018"
"11","9","2","9","205,166","2,019"
"3","2","4","5","337,250","2,019"
"8","21","3","4","21,075","2,021"
"6","19","0","3","556,878","2,019"
"3","7","6","7","3,878","2,020"
"12","13","1","9","100,782.25238776692","2,020"
"12","4","1","10","4,278","2,021"
"1","2","2","2","1,292","2,021"
"8","9","3","2","4,683","2,019"
"12","5","3","2","9,246","2,021"
"4","17","6","7","3,386","2,021"
"5","19","3","1","34,911","2,018"
"4","4","6","10","46,663","2,021"
"5","1","1","2","15,809","2,021"
"3","18","1","3","320,238.42292470099","2,021"
"3","22","5","3","4,338,119","2,019"
"10","22","5","7","211,653","2,018"
"5","0","1","4","5,240","2,019"
"8","11","4","9","241,231","2,018"
"4","1","5","None","49,000","2,022"
"12","8","0","1","6,222","2,019"
"2","16","0","10","7,593","2,019"
"12","9","4","9","154,483.0218509666","2,020"
"9","21","2","1","350,494","2,018"
"10","15","4","7","26,988","2,018"
"1","14","4","3","468,657","2,020"
"11","8","6","1","47,982","2,019"
"6","15","5","8","9,715","2,020"
"3","8","2","10","7,358","2,020"
"11","14","3","2","5,401","2,020"
"8","21","4","9","1,919,029.17798973723","2,020"
"6","14","6","3","69,111","2,020"
"2","14","1","2","9,312","2,022"
"8","5","3","2","598","2,019"
"12","19","2","7","10,389","2,019"
"6","6","2","9","861,001","2,019"
"1","5","5","2","1,277","2,019"
"4","22","3","9","3,042,803.40825193199","2,021"
"6","13","4","8","1,770","2,019"
"2","5","4","9","890,165","2,020"
"10","3","4","7","1,138","2,019"
"9","19","2","4","9,223","2,019"
"8","22","3","7","11,322","2,021"
"11","17","1","10","47,384","2,018"
"5","1","5","3","926,340.95229762962","2,021"
"7","12","0","1","182,821","2,019"
"3","14","0","3","308,812.54200081491","2,020"
"7","7","1","1","59,980.85869614051","2,020"
"3","1","4","8","76,305","2,019"
"11","0","3","2","6,807","2,019"
"5","17","0","5","331,422.80784568718","2,021"
"2","17","1","None","55,912","2,022"
"6","7","0","1","26,774.28844360096","2,020"
"4","7","1","7","12,552.37456667256","2,021"
"8","6","6","7","0","2,019"
"2","19","4","5","157,650","2,020"
"5","2","6","5","22,898,043","2,020"
"9","18","2","1","396,104","2,019"
"3","21","6","6","1,679","2,019"
"1","16","3","7","14,291","2,020"
"3","11","5","9","138,194.74130666351","2,022"
"3","21","6","5","703,558.83293031174","2,022"
"2","23","5","3","364,821.56616768658","2,021"
"4","5","5","3","654,137","2,019"
"12","0","5","0","138,182","2,018"
"1","5","6","1","101,263","2,019"
"2","6","2","5","24,927","2,022"
"10","5","0","5","37,766","2,019"
"11","14","3","8","2,529","2,020"
"1","6","1","9","336,967.08957843476","2,022"
"8","2","1","8","28,222","2,018"
"9","19","4","10","13,049","2,020"
"2","4","4","5","35,564.06328674385","2,021"
"9","4","2","5","79,471","2,021"
"9","23","3","3","970,564","2,019"
"6","13","2","7","1,110","2,021"
"1","14","4","None","804","2,020"
"12","17","1","5","56,790","2,019"
"4","4","1","4","3,071","2,021"
"3","18","0","3","379,292.83320785521","2,021"
"12","19","1","7","9,680","2,019"
"3","0","4","4","3,962","2,020"
"10","20","2","1","143,804.52030504603","2,020"
"12","10","4","7","2","2,021"
"12","8","0","9","90,860.60978430166","2,020"
"6","22","2","1","312,434.18866282411","2,021"
"10","12","1","2","1,435","2,021"
"12","16","5","10","63,566","2,018"
"1","5","1","4","14,594","2,019"
"8","19","2","9","1,730,333.27932519481","2,021"
"11","22","2","10","92,133","2,018"
"3","10","2","1","3,772","2,020"
"11","18","3","8","12,510.60943198767","2,021"
"7","21","5","5","228,883","2,018"
"5","13","2","8","8,130","2,019"
"11","23","4","9","920,326,523","2,019"
"7","16","6","8","23,840.54416121104","2,021"
"5","2","3","4","2,150","2,021"
"9","10","1","None","2","2,021"
"7","15","3","5","113,156","2,021"
"7","18","3","9","2,712,332.5187861393","2,021"
"10","13","4","5","10,402","2,020"
"2","1","4","7","39,503","2,020"
"2","11","1","9","155,783","2,020"
"5","11","0","3","61,646","2,021"
"1","1","0","1","104,264","2,022"
"11","8","1","3","42,442","2,019"
"9","8","0","1","93,243.43526466596","2,020"
"4","7","1","5","74,194","2,019"
"1","8","2","5","15,844","2,022"
"3","0","2","7","6,824","2,020"
"6","21","3","2","2,730","2,019"
"8","8","1","3","42,392.33703109353","2,020"
"3","18","2","2","2,629","2,021"
"1","3","3","3","64,709.29859674733","2,021"
"4","8","5","3","157,311","2,021"
"4","9","4","4","6,710","2,019"
"12","22","3","1","417,729.68036580486","2,021"
"3","17","6","8","60,396.85907558749","2,021"
"1","15","0","0","847","2,019"
"12","12","2","7","8,525","2,018"
"12","17","0","9","115,397,023","2,019"
"7","15","4","9","623,036.51838391374","2,020"
"6","3","6","5","22,998,135","2,020"
"7","12","3","0","3,832","2,018"
"6","13","6","2","3,084","2,019"
"10","18","0","9","3,401,594","2,018"
"6","0","1","8","97,063.69477113465","2,021"
"11","13","0","4","2,517","2,018"
"5","8","1","3","6,959","2,020"
"1","18","0","3","151,419.5305490469","2,021"
"7","1","1","10","10,792","2,021"
"2","0","1","2","10,682","2,019"
"1","14","2","9","275,487.96593158319","2,022"
"1","19","6","2","2","2,021"
"10","17","1","5","179,616","2,018"
"11","11","4","1","3,216","2,021"
"4","1","3","1","33,392","2,018"
"7","1","2","2","1,140","2,020"
"4","0","3","8","38,166","2,019"
"5","9","3","3","13,474","2,020"
"5","4","2","2","6,027","2,019"
"5","17","0","2","3,752","2,019"
"12","2","0","5","175,796.90970818373","2,021"
"8","22","0","7","1,438","2,018"
"9","18","1","9","49,669,748","2,019"
"10","18","2","3","322,662","2,018"
"9","17","5","4","20,843","2,018"
"2","1","2","6","156","2,019"
"11","19","4","0","303","2,019"
"11","12","0","9","23,077,111","2,019"
"3","12","2","5","29,467","2,022"
"12","7","0","8","163","2,018"
"9","11","3","4","1,329","2,019"
"9","16","6","10","40,843","2,019"
"3","17","2","9","5,149,823","2,019"
"1","15","4","10","610","2,022"
"10","7","3","4","833","2,018"
"11","4","6","3","622,892","2,019"
"7","4","6","1","26,079","2,018"
"7","8","5","1","234,234.02634028753","2,021"
"3","23","3","9","3,362,108.07522674144","2,021"
"2","6","3","10","11,845","2,020"
"3","0","5","5","433,036.91350520304","2,021"
"10","0","1","9","1,584,235.46457892748","2,020"
"7","4","6","5","94,497","2,018"
"2","7","6","4","2,080","2,020"
"5","2","0","1","276,217.60935774637","2,021"
"2","8","1","5","2,302","2,022"
"1","16","5","1","98,466.27609124081","2,021"
"10","5","1","1","37,878.44810193183","2,020"
"2","8","2","1","20,628.02216346249","2,022"
"9","4","0","9","378,748","2,018"
"6","22","6","9","2,423,520","2,018"
"12","23","3","9","25,834,444","2,019"
"10","7","6","2","18,171","2,018"
"4","22","3","1","15,780","2,020"
