"Month","Hour","Day of Week","Council District (Start)","sum_trip_distance","Year (US/Central)"
"11","14","0","3","63,288","2,020"
"12","2","2","4","5,059","2,019"
"4","8","1","2","10,153","2,020"
"6","15","0","10","28,839","2,021"
"11","3","2","5","69,939","2,018"
"9","21","1","None","23","2,021"
"8","19","2","9","3,652,092","2,018"
"10","18","5","0","11,358,521","2,019"
"1","20","2","4","4,440","2,021"
"1","16","1","1","111,698","2,020"
"8","2","3","2","5,325","2,021"
"12","7","1","9","231,887.7059937822","2,020"
"11","1","2","10","26,298","2,019"
"1","21","5","1","437,022.48334547021","2,021"
"12","20","1","9","3,334,209","2,018"
"3","0","0","10","9,127","2,021"
"9","13","1","1","259,383","2,019"
"10","7","0","1","112,340.26601073143","2,021"
"8","21","1","9","2,868,208","2,018"
"12","19","6","4","1,382","2,019"
"3","19","2","1","668,362","2,019"
"9","10","6","9","569,402","2,019"
"7","5","6","9","8,363,574.73142061368","2,021"
"8","14","3","6","966","2,021"
"12","22","2","1","196,367","2,018"
"10","22","2","4","6,128","2,021"
"10","9","5","4","4,009","2,018"
"1","6","6","1","92,480.40565859456","2,021"
"8","23","1","1","100,377.84103775896","2,020"
"5","7","4","3","279,224.32277087483","2,021"
"11","14","2","9","1,309,748","2,018"
"7","18","0","8","31,828","2,020"
"7","17","5","8","68,678","2,018"
"12","14","3","1","2,454.81965125252","2,020"
"10","17","0","5","248,272","2,018"
"9","21","3","10","37,839","2,018"
"1","21","5","5","382,311.61609538346","2,021"
"10","18","2","2","6,374","2,020"
"8","5","5","9","39,080,753.73495375322","2,020"
"9","13","6","7","5,578","2,019"
"2","21","2","3","181,150","2,020"
"9","5","1","1","4,453","2,018"
"12","5","6","7","92,796","2,018"
"9","14","2","3","798,650","2,019"
"2","5","1","9","14,150,784","2,019"
"4","10","5","3","49,436","2,019"
"7","14","0","7","7,321","2,019"
"4","18","6","1","847,296","2,019"
"12","13","4","2","153","2,018"
"12","0","5","10","3,789","2,021"
"2","18","4","2","4,705","2,019"
"3","19","0","10","2,750","2,020"
"6","14","6","8","11,686","2,019"
"2","4","3","4","9,910","2,019"
"8","8","0","5","15,476","2,019"
"9","16","6","9","6,688,017.3868105181","2,020"
"1","23","6","None","3,189,250","2,021"
"2","22","1","9","721,145.19392848809","2,021"
"3","12","6","3","37,840.31189243029","2,020"
"9","17","5","1","719,842.46545357344","2,021"
"3","20","2","3","420,700.50854183406","2,020"
"8","1","2","1","348,086","2,018"
"4","17","0","4","14,017","2,020"
"3","3","6","8","150,326.81198524231","2,022"
"4","5","4","2","5,042","2,021"
"2","14","0","8","196","2,019"
"7","10","6","3","19,651","2,020"
"4","18","5","1","619,959","2,019"
"4","17","0","10","386","2,020"
"8","19","5","0","71,756","2,018"
"4","5","2","1","63,536","2,019"
"3","0","5","None","38,476,871","2,021"
"7","16","5","5","382,332","2,019"
"8","14","1","3","193,103","2,018"
"9","18","0","9","2,419,633.54151418355","2,021"
"12","3","5","3","452,591","2,018"
"10","3","4","7","16,217","2,020"
"10","1","5","4","13,758","2,021"
"6","2","5","2","748","2,020"
"11","0","2","10","63,417","2,018"
"3","15","4","2","12,748","2,022"
"9","22","1","0","23,664","2,018"
"5","10","0","5","3,722","2,019"
"3","7","4","3","87,934.6442230952","2,020"
"10","3","5","4","3,616","2,021"
"9","18","4","5","127,008","2,020"
"2","21","4","10","48,788","2,019"
"12","20","1","9","93,702,136","2,019"
"3","14","6","7","5,877","2,020"
"5","17","2","5","36,444","2,020"
"10","16","1","10","14,181","2,019"
"2","16","4","8","3,547","2,020"
"6","7","6","9","8,541,448.093933103","2,021"
"10","19","1","1","333,971","2,018"
"7","3","4","9","252,376,531.06835559899","2,020"
"11","6","1","9","403,138","2,018"
"11","15","3","2","2,826","2,019"
"12","10","3","1","10,220","2,020"
"3","5","4","7","24,953","2,020"
"9","10","0","9","81,347","2,018"
"2","11","2","9","62,780","2,022"
"3","19","3","None","9,005,520","2,022"
"7","1","5","8","128,296","2,019"
"3","10","5","5","21,989","2,020"
"10","1","4","2","0","2,020"
"11","19","5","8","23,575","2,020"
"10","12","0","7","11,094","2,018"
"11","18","3","4","15,790","2,019"
"6","12","5","2","5,995","2,020"
"7","18","1","3","185,608","2,020"
"2","15","0","3","392,018","2,019"
"7","12","3","5","19,399","2,021"
"7","4","6","3","111,439","2,018"
"8","18","3","3","280,635","2,018"
"5","12","3","5","115,095","2,019"
"9","17","1","8","7,608","2,018"
"10","20","1","7","19,429","2,019"
"6","8","3","2","1,790","2,021"
"6","13","3","5","108,460.2660690702","2,021"
"6","20","5","5","533,924.40572624047","2,021"
"12","22","1","7","24,133","2,019"
"6","17","6","4","3,468","2,021"
"4","5","4","3","358,079.86649036964","2,021"
"8","3","6","9","30,828,693.42190298131","2,020"
"11","8","3","1","5,261","2,021"
"2","14","3","5","232,242","2,019"
"4","2","4","8","25,047","2,019"
"9","10","5","8","0","2,018"
"10","0","1","10","17,865","2,019"
"12","23","1","1","373,558","2,019"
"7","3","6","1","43,201","2,018"
"6","17","5","3","319,659","2,018"
"7","22","0","10","28,258","2,018"
"10","12","6","3","77,965","2,018"
"3","12","2","7","5,479","2,022"
"8","12","5","1","39,637","2,019"
"8","17","2","10","77,172","2,019"
"12","14","1","1","96,946","2,019"
"3","20","1","2","26,728","2,022"
"11","11","5","1","20,018","2,021"
"9","15","2","4","7,315","2,021"
"12","15","5","2","2,073","2,020"
"7","14","1","5","28,036","2,018"
"2","22","0","2","4,392","2,019"
"8","5","2","3","160,992","2,019"
"10","3","1","9","1,246,202.41931599838","2,020"
"1","15","5","5","19,515","2,022"
"4","19","1","3","82,255","2,018"
"2","23","3","5","74,135.51024821935","2,021"
"4","4","0","10","5,715","2,022"
"5","4","4","10","11,232","2,021"
"2","19","4","5","73,455.68112430547","2,022"
"8","22","3","7","42,708","2,019"
"1","5","4","1","30,167","2,022"
"4","0","4","5","67,811","2,020"
"8","20","3","10","1,311","2,020"
"2","1","2","9","735,101.40168629411","2,021"
"12","0","4","1","200,715","2,019"
"11","4","5","7","27,724","2,018"
"11","5","6","8","17,941","2,021"
"3","19","3","3","1,162,826.88564304569","2,022"
"3","11","1","2","3,479","2,020"
"8","10","4","5","7,966","2,018"
"6","17","0","4","1,763","2,019"
"3","19","4","5","342,476.45910916095","2,021"
"10","7","5","8","8,092","2,020"
"11","19","4","5","127,177","2,020"
"9","2","1","1","156,794","2,019"
"12","0","3","9","2,947,241","2,018"
"6","11","6","10","1,354","2,021"
"8","2","2","8","25,546.56119211362","2,020"
"10","1","1","5","224,341","2,019"
"3","18","6","7","4,826","2,020"
"5","0","4","7","5,962","2,019"
"10","5","2","7","0","2,021"
"10","12","1","3","126,515.2183750484","2,021"
"7","19","4","5","145,531","2,018"
"6","13","0","2","8,797","2,020"
"9","15","5","9","2,869,801","2,018"
"5","20","4","7","2,515","2,020"
"12","13","0","2","3,966","2,018"
"1","19","3","5","61,406","2,022"
"11","16","4","10","3,557","2,019"
"2","15","3","5","63,138","2,020"
"7","8","0","7","1,345","2,019"
"7","23","0","10","66,426","2,019"
"6","15","3","10","4,148","2,021"
"6","7","4","8","8,158","2,019"
"12","3","5","6","2,044","2,018"
"6","22","4","1","167,166","2,018"
"11","11","3","9","114,699","2,019"
"7","16","2","8","17,909","2,018"
"1","16","6","7","3,229","2,022"
"11","1","1","7","159","2,020"
"12","15","3","9","132,283.53234326757","2,020"
"1","0","5","5","45,654,822","2,020"
"8","16","0","9","888,951.63730827244","2,020"
"8","20","4","1","412,348.32748437715","2,021"
"10","15","1","8","3,910","2,018"
"2","16","5","4","3,299","2,019"
"5","7","6","3","869,816.43125994078","2,021"
"5","13","5","1","59,151","2,021"
"9","14","1","2","0","2,018"
"11","22","3","10","12,018","2,020"
"8","17","6","7","5,505","2,018"
"4","23","0","5","49,776","2,020"
"8","19","4","2","6,777","2,021"
"9","13","1","10","6,614","2,020"
"11","6","0","5","21,635","2,020"
"8","0","0","3","793,359","2,019"
"2","6","1","9","68,956,194","2,020"
"11","17","4","4","58,418","2,018"
"3","19","6","3","707,911.75719977503","2,020"
"5","10","5","5","23,108","2,019"
"3","9","1","3","29,049","2,021"
"12","3","0","5","212,203","2,019"
"3","20","2","1","209,562.47505535776","2,021"
"8","21","2","7","1,771","2,018"
"4","3","1","1","74,551","2,020"
"3","11","5","10","933","2,020"
"3","17","5","1","686,712.73695743738","2,022"
"11","6","5","0","15,627","2,018"
"9","15","4","3","565,725.04600964784","2,021"
"3","23","5","None","688,527","2,022"
"10","15","5","8","25,535","2,021"
"8","2","3","1","201,347","2,018"
"11","12","1","10","3,508","2,019"
"9","14","0","0","2,004,737","2,019"
"3","18","6","4","21,883","2,022"
"3","3","1","7","35,114","2,019"
"9","23","4","3","1,497,207","2,019"
"1","23","2","3","151,036","2,021"
"6","14","5","8","33,553","2,019"
"2","0","2","8","6,709.20811181764","2,022"
"2","11","5","10","913","2,020"
"3","1","4","5","103,292","2,020"
"10","14","3","2","275","2,020"
"8","0","3","10","103","2,021"
"2","21","5","2","6,951","2,019"
"8","6","4","10","1,111","2,019"
"9","2","6","1","486,288.62398139853","2,020"
"9","10","3","1","5,016.87364085844","2,020"
"8","21","1","3","448,637","2,019"
"11","23","5","5","768,371","2,018"
"3","13","4","9","368,591.33889141117","2,021"
"12","1","0","None","10,344","2,021"
"7","20","5","None","2,931","2,021"
"7","21","2","2","7,237","2,018"
"4","20","3","4","25,954","2,019"
"9","22","3","4","4,900","2,018"
"11","22","4","3","502,957.04071428979","2,020"
"3","4","2","3","697,915","2,019"
"2","5","6","None","14,292","2,020"
"4","14","6","4","2,530","2,019"
"12","2","0","6","4,880","2,018"
"8","23","1","7","2,389","2,018"
"12","4","6","10","2,287","2,020"
"5","8","1","9","33,088","2,020"
"10","6","6","1","142,704","2,019"
"6","23","4","9","1,938,664.77549142881","2,020"
"10","6","1","10","9,026","2,021"
"11","20","4","5","143,828.27749034395","2,020"
"8","13","3","8","13,795","2,021"
"11","1","1","10","11,531","2,019"
"8","18","2","10","7,855","2,021"
"7","10","6","7","4,351","2,021"
"1","9","3","9","226,896","2,020"
"12","19","6","1","445,055","2,019"
"9","9","5","3","28,570","2,018"
"11","7","4","1","28,773","2,021"
"3","9","3","None","353,900","2,022"
"10","21","1","1","159,126.86043423693","2,020"
"7","20","3","10","46,896","2,021"
"12","0","0","5","353,642","2,018"
"12","7","5","1","36,669","2,018"
"5","1","6","3","1,920,961.018522962","2,021"
"10","19","6","8","100,578.30481710855","2,020"
"1","18","6","7","130,269","2,019"
"8","3","0","9","72,678,799.59100693743","2,020"
"2","19","2","10","32,198","2,019"
"12","7","5","8","0","2,020"
"4","3","5","3","249,983.7687756672","2,022"
"7","6","4","1","48,233.27701836924","2,020"
"10","3","4","7","4,293","2,018"
"9","13","3","5","13,095","2,020"
"7","9","1","4","2,847","2,020"
"10","1","1","5","274,093.89056588451","2,021"
"9","18","6","4","10,585","2,019"
"8","14","6","1","189,627.19118271241","2,021"
"10","3","2","9","25,738,621","2,019"
"7","18","0","8","54,583","2,021"
"8","13","1","4","5,786","2,019"
"9","16","3","4","7,135","2,019"
"10","5","4","10","9","2,020"
"2","12","2","5","13,465","2,019"
"12","17","5","1","319,916","2,018"
"1","18","2","7","1,818","2,022"
"2","23","0","1","447,338","2,019"
"10","0","1","7","1,470","2,021"
"9","4","2","10","7,152","2,021"
"12","4","5","3","142,486.42283501297","2,020"
"2","7","0","2","950","2,019"
"1","13","1","3","195,147","2,019"
"8","20","3","7","3,226","2,020"
"3","11","3","1","5,610","2,022"
"5","12","0","8","6,260","2,019"
"11","3","2","10","6,125","2,021"
"5","5","1","3","213,123.83447987761","2,021"
"3","0","0","None","7,565","2,020"
"10","23","5","9","6,023,181","2,018"
"10","2","2","1","54,208.32134085364","2,020"
"7","4","1","1","93,449.32916059854","2,021"
"2","15","6","10","39,354","2,022"
"5","22","2","0","6,417","2,018"
"10","23","2","4","15,000","2,018"
"2","1","5","10","48,952","2,020"
"8","23","2","8","58,280","2,019"
"8","20","3","7","28,318","2,019"
"8","5","2","4","10,187","2,021"
"5","7","4","5","31,233","2,020"
"12","1","1","10","8,323","2,021"
"8","18","4","7","20,540","2,019"
"5","9","2","1","15,609","2,021"
"7","5","5","3","855,716","2,019"
"10","5","2","1","29,898.58773587189","2,021"
"6","4","5","10","68,442","2,019"
"3","14","4","1","63,050","2,021"
"7","12","2","7","17,280","2,019"
"6","16","5","5","103,204","2,018"
"1","19","5","5","548,851","2,019"
"8","6","1","3","30,673.10787580408","2,020"
"9","17","0","5","323,140","2,018"
"6","0","4","5","244,105.24275468483","2,021"
"1","1","1","2","10,248","2,019"
"9","22","5","4","31,577","2,019"
"8","12","4","1","14,294","2,021"
"10","20","3","5","265,721","2,019"
"4","1","3","7","1,577","2,020"
"2","22","1","3","429,642","2,019"
"10","19","5","1","68,957,339","2,019"
"1","13","4","5","59,253","2,019"
"12","22","0","0","9,984","2,019"
"9","10","6","1","61,962.54592470655","2,021"
"11","19","1","None","6,431","2,018"
"10","17","6","0","34,080,145","2,019"
"11","20","0","10","22,726,277","2,019"
"10","0","2","6","2,196","2,019"
"6","0","2","2","1,388","2,020"
"7","12","4","10","15,503","2,019"
"6","12","5","7","25,356","2,020"
"6","12","4","2","14,991","2,021"
"9","19","6","1","595,702","2,019"
"8","8","1","8","8,988","2,021"
"5","20","1","9","1,978,217.24971685219","2,021"
"4","23","0","6","3,673","2,019"
"7","8","3","5","14,532","2,019"
"7","22","1","6","21","2,021"
"9","5","0","5","103,559","2,019"
"4","19","5","10","37,368","2,021"
"3","14","0","4","4,135","2,022"
"2","8","1","4","3,062","2,022"
"5","20","6","1","553,939.46636558085","2,021"
"4","23","5","9","1,942,482.907492542","2,022"
"10","19","6","1","845,622","2,018"
"4","21","4","10","23,580","2,021"
"2","22","2","2","3,516","2,022"
"4","17","4","8","16,337","2,022"
"3","5","6","10","4,364","2,021"
"7","3","6","10","15,845","2,018"
"5","17","5","8","51,331.96092171614","2,021"
"4","1","1","2","23,951","2,019"
"10","12","3","9","46,668,826","2,019"
"5","18","1","8","23,019","2,018"
"7","2","5","0","12,287","2,018"
"10","16","2","2","56","2,021"
"10","22","3","8","68,054","2,019"
"9","4","0","2","3,038","2,018"
"12","2","2","5","93,140.46997626529","2,021"
"10","17","3","4","9,528","2,019"
"10","9","6","5","31,888","2,020"
"8","21","1","1","240,509.58147972362","2,021"
"12","17","3","0","17,108","2,018"
"11","5","6","10","9,938","2,019"
"12","21","6","4","83,138","2,018"
"5","14","4","9","1,106,882.04935404619","2,021"
"7","5","1","8","13,292","2,019"
"3","0","5","10","135,564","2,019"
"1","2","5","1","232,014","2,019"
"2","17","4","8","10,331","2,020"
"1","8","5","7","0","2,022"
"1","2","4","5","58,687.3394859894","2,022"
"9","7","4","3","17,548","2,018"
"1","18","1","3","101,066.26079640965","2,021"
"10","19","2","3","386,373","2,018"
"8","13","3","10","4,491","2,018"
"3","11","3","3","73,381.58884222995","2,022"
"3","11","3","1","11,022","2,020"
"7","14","6","9","817,176","2,018"
"1","3","5","9","24,576,172","2,020"
"5","18","1","4","4,081","2,020"
"6","21","2","2","5,069","2,021"
"8","6","6","1","362,072.53133343564","2,020"
"11","0","2","7","227,186","2,018"
"1","0","1","None","108,300","2,022"
"12","15","4","1","89,610","2,019"
"12","0","0","1","406,969.60088763351","2,020"
"2","22","5","None","2,117,103","2,020"
"11","2","3","9","1,553,723.83215199642","2,021"
"2","19","2","2","2,067","2,020"
"1","14","4","5","16,714.06832589771","2,021"
"8","1","1","2","1,690","2,018"
"3","18","5","4","7,714","2,021"
"11","5","3","10","1,222","2,019"
"10","8","4","5","29,289","2,021"
"2","21","0","10","21,156","2,020"
"3","5","1","7","3,659","2,021"
"11","6","6","7","561","2,019"
"11","17","5","8","49,707","2,021"
"4","10","4","9","23,632","2,020"
"11","16","0","2","17,378","2,018"
"12","16","3","2","2,458","2,018"
"4","17","4","1","747,799","2,019"
"12","1","0","8","4,214","2,020"
"11","17","2","10","29,259","2,018"
"8","15","1","1","134,378","2,018"
"11","13","5","5","12,480","2,019"
"9","20","2","1","186,813","2,018"
"3","23","1","3","1,311,488.27975466444","2,022"
"12","7","2","5","31,773","2,021"
"7","8","1","5","5,188","2,019"
"9","11","1","4","858","2,019"
"12","15","4","7","37,621","2,021"
"9","13","1","6","864","2,018"
"5","11","6","9","264,372","2,019"
"6","20","6","9","7,483,238","2,019"
"7","6","4","4","6,014","2,019"
"3","18","1","0","6,556","2,019"
"2","3","3","5","68,069","2,022"
"10","17","6","3","471,416.85625526665","2,020"
"10","20","0","4","29,126.24269119309","2,021"
"9","23","3","1","539,936","2,019"
"10","8","6","9","1,771,292","2,019"
"9","20","2","9","2,508,373.54648093426","2,021"
"10","17","3","3","670,755","2,019"
"6","1","3","3","994,028","2,019"
"11","3","1","5","92,730","2,021"
"10","21","4","0","3,052","2,019"
"6","5","0","8","4,415.30703409236","2,021"
"9","10","0","3","16,115.20830872169","2,020"
"10","0","5","2","12,764","2,021"
"8","14","1","5","35,278","2,020"
"4","14","2","8","5,095","2,021"
"5","14","5","1","2,960","2,020"
"3","1","0","7","69,272","2,022"
"10","8","1","1","19,208","2,019"
"4","10","0","9","42,432","2,022"
"2","19","2","10","4,048","2,020"
"2","13","2","10","2,474","2,021"
"3","17","1","5","131,327.86919116358","2,022"
"9","11","3","4","5,203","2,021"
"3","1","5","9","6,781,680.96838504424","2,022"
"1","8","3","5","8,489","2,021"
"9","5","0","4","4,927","2,019"
"5","3","6","10","19,620","2,019"
"8","4","3","4","1,053","2,018"
"9","7","1","5","6,619","2,020"
"4","7","6","3","5,470","2,020"
"1","16","6","9","1,602,194","2,019"
"6","15","2","9","417,395","2,018"
"6","5","0","4","8,145","2,019"
"1","1","0","5","121,163.25204278377","2,022"
"3","9","5","5","3,507","2,020"
"9","7","2","1","7,910","2,019"
"7","10","4","7","642","2,021"
"7","22","4","7","68,297","2,019"
"3","23","6","8","119,603","2,020"
"3","9","0","3","23,664","2,022"
"1","6","4","9","1,294,484","2,020"
"12","2","2","1","190,508","2,018"
"1","23","0","7","0","2,021"
"5","1","3","3","1,302,423","2,019"
"9","23","4","10","33,235","2,020"
"12","14","2","3","323,881","2,018"
"6","18","0","5","231,601","2,019"
"10","5","1","3","47,850","2,018"
"4","10","6","5","5,253","2,021"
"2","6","3","9","401,635.90076457372","2,020"
"2","5","3","5","18,320","2,021"
"1","14","4","8","7,980","2,020"
"7","0","6","9","8,108,952.30091644906","2,021"
"12","8","5","5","64,259.25588168109","2,021"
"5","6","5","4","3,361","2,021"
"2","18","0","8","38,594","2,019"
"4","21","5","5","297,680.52367514892","2,022"
"7","23","4","3","1,155,782.98464018594","2,021"
"2","0","6","1","676,001","2,019"
"12","21","4","1","22,884,524.46705650046","2,020"
"12","10","3","1","6,914","2,019"
"12","4","0","7","55,434","2,018"
"6","18","1","10","11,351","2,019"
"8","4","3","8","45,168","2,019"
"7","19","6","7","2,972","2,018"
"12","0","3","0","64,943","2,018"
"12","2","6","1","493,815.58398353212","2,021"
"1","22","4","2","17,118","2,020"
"6","16","5","0","1,915","2,019"
"12","0","5","2","21,297","2,021"
"11","3","2","0","99,732","2,018"
"5","0","2","9","114,322,408","2,020"
"2","20","5","3","1,295,197","2,019"
"4","13","3","9","2,758,971","2,019"
"12","14","6","5","15,495","2,019"
